id,translation
10,"{'input': '<QUESTION> Show <COLUMN> location </COLUMN> and name for all <TABLE> stadiums </TABLE> with a <COLUMN> capacity </COLUMN> between <VALUE> 5000 </VALUE> and <VALUE> 10000 </VALUE> .  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""stadium"". The column names of this table are ""stadium id"" which is of type number, ""location"" which is of type text, ""name"" which is of type text, ""capacity"" which is of type number, ""highest"" which is of type number, ""lowest"" which is of type number, ""average"" which is of type number. The mandatory column of this table is ""stadium id"". The table ""concert"" has a reference in the table ""stadium"" which are linked by the column ""stadium id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> LOCATION </COLUMN>  <COLUMN> name </COLUMN>  FROM  <TABLE> stadium </TABLE> WHERE <COLUMN> capacity </COLUMN> between <VALUE> 5000 </VALUE> </QUERY>'}"
11,"{'input': '<QUESTION> What are the <COLUMN> locations </COLUMN> and <COLUMN> names </COLUMN> of all <COLUMN> stations </COLUMN> with <COLUMN> capacity </COLUMN> between <VALUE> 5000 </VALUE> and <VALUE> 10000 </VALUE> ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""stadium"". The column names of this table are ""stadium id"" which is of type number, ""location"" which is of type text, ""name"" which is of type text, ""capacity"" which is of type number, ""highest"" which is of type number, ""lowest"" which is of type number, ""average"" which is of type number. The mandatory column of this table is ""stadium id"". The table ""concert"" has a reference in the table ""stadium"" which are linked by the column ""stadium id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> LOCATION </COLUMN>  <COLUMN> name </COLUMN>  FROM  <TABLE> stadium </TABLE> WHERE <COLUMN> capacity </COLUMN> between <VALUE> 5000 </VALUE> </QUERY>'}"
12,"{'input': '<QUESTION> What is the maximum capacity and the average of all stadiums ?  </QUESTION> <SCHEMA>  </SCHEMA>', 'output': '<QUERY> SELECT SELECT <COLUMN> max(capacity) </COLUMN> AVERAGE <COLUMN> from </COLUMN>  FROM  <TABLE> stadium </TABLE>  </QUERY>'}"
13,"{'input': '<QUESTION> Show the <TABLE> stadium </TABLE> <COLUMN> names </COLUMN> without any <TABLE> concert </TABLE> .  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""stadium"". The column names of this table are ""stadium id"" which is of type number, ""location"" which is of type text, ""name"" which is of type text, ""capacity"" which is of type number, ""highest"" which is of type number, ""lowest"" which is of type number, ""average"" which is of type number. The mandatory column of this table is ""stadium id"". The table ""concert"" has a reference in the table ""stadium"" which are linked by the column ""stadium id"".The database name is ""concert singer"". This database has a table whose name is ""concert"". The column names of this table are ""concert id"" which is of type number, ""concert name"" which is of type text, ""theme"" which is of type text, ""stadium id"" which is of type text, ""year"" which is of type text. The mandatory column of this table is ""concert id"". The table ""concert"" has a reference in the table ""stadium"" which are linked by the column ""stadium id"". The table ""singer in concert"" has a reference in the table ""concert"" which are linked by the column ""concert id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> name </COLUMN>  FROM  <TABLE> stadium </TABLE> WHERE <COLUMN> stadium_id </COLUMN> NOT IN <QUERY> SELECT  <COLUMN> stadium_id </COLUMN>  FROM  <TABLE> concert </TABLE>  </QUERY> </QUERY>'}"
14,"{'input': '<QUESTION> What are the <COLUMN> names </COLUMN> of the <TABLE> stadiums </TABLE> without any <TABLE> concerts </TABLE> ?  </QUESTION> <SCHEMA> The database name is ""concert singer"". This database has a table whose name is ""stadium"". The column names of this table are ""stadium id"" which is of type number, ""location"" which is of type text, ""name"" which is of type text, ""capacity"" which is of type number, ""highest"" which is of type number, ""lowest"" which is of type number, ""average"" which is of type number. The mandatory column of this table is ""stadium id"". The table ""concert"" has a reference in the table ""stadium"" which are linked by the column ""stadium id"".The database name is ""concert singer"". This database has a table whose name is ""concert"". The column names of this table are ""concert id"" which is of type number, ""concert name"" which is of type text, ""theme"" which is of type text, ""stadium id"" which is of type text, ""year"" which is of type text. The mandatory column of this table is ""concert id"". The table ""concert"" has a reference in the table ""stadium"" which are linked by the column ""stadium id"". The table ""singer in concert"" has a reference in the table ""concert"" which are linked by the column ""concert id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> name </COLUMN>  FROM  <TABLE> stadium </TABLE> WHERE <COLUMN> stadium_id </COLUMN> NOT IN <QUERY> SELECT  <COLUMN> stadium_id </COLUMN>  FROM  <TABLE> concert </TABLE>  </QUERY> </QUERY>'}"
15,"{'input': '<QUESTION> Find the number of <TABLE> pets </TABLE> whose <COLUMN> weight </COLUMN> is heavier than <VALUE> 10 </VALUE> .  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> pet id </PRIMARY KEY>  FROM  <TABLE> pets </TABLE> WHERE <COLUMN> weight </COLUMN> greater than <VALUE> 10 </VALUE> </QUERY>'}"
16,"{'input': '<QUESTION> How many <TABLE> pets </TABLE> have a greater <COLUMN> weight </COLUMN> than <VALUE> 10 </VALUE> ?  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> pet id </PRIMARY KEY>  FROM  <TABLE> pets </TABLE> WHERE <COLUMN> weight </COLUMN> greater than <VALUE> 10 </VALUE> </QUERY>'}"
17,"{'input': '<QUESTION> Find the maximum <COLUMN> weight </COLUMN> for each <COLUMN> type </COLUMN> of <TABLE> pet </TABLE> . List the maximum <COLUMN> weight </COLUMN> and <TABLE> pet </TABLE> <COLUMN> type </COLUMN> .  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> max </AGGREGATE> <COLUMN> weight </COLUMN>  <COLUMN> petType </COLUMN>  FROM  <TABLE> pets </TABLE> GROUP BY <COLUMN>  petType </COLUMN> </QUERY>'}"
18,"{'input': '<QUESTION> List the maximum <COLUMN> weight </COLUMN> and <COLUMN> type </COLUMN> for each <COLUMN> type </COLUMN> of <TABLE> pet </TABLE> .  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> max </AGGREGATE> <COLUMN> weight </COLUMN>  <COLUMN> petType </COLUMN>  FROM  <TABLE> pets </TABLE> GROUP BY <COLUMN>  petType </COLUMN> </QUERY>'}"
19,"{'input': '<QUESTION> Find the number of distinct <COLUMN> type </COLUMN> of <TABLE> pets </TABLE> .  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE> DISTINCT <COLUMN> pettype </COLUMN>  FROM  <TABLE> pets </TABLE>  </QUERY>'}"
20,"{'input': '<QUESTION> How many different <TABLE> types </TABLE> of <TABLE> pet </TABLE> are there ?  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE> DISTINCT <COLUMN> pettype </COLUMN>  FROM  <TABLE> pets </TABLE>  </QUERY>'}"
21,"{'input': '<QUESTION> Find the i d and <COLUMN> weight </COLUMN> of all <TABLE> pets </TABLE> whose age is older than <VALUE> 1 </VALUE> .  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> petid </COLUMN>  <COLUMN> weight </COLUMN>  FROM  <TABLE> pets </TABLE> WHERE <COLUMN> pet_age </COLUMN> greater than <VALUE> 1 </VALUE> </QUERY>'}"
22,"{'input': '<QUESTION> What is the i d and <COLUMN> weight </COLUMN> of every <TABLE> pet </TABLE> who is older than <VALUE> 1 </VALUE> ?  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> petid </COLUMN>  <COLUMN> weight </COLUMN>  FROM  <TABLE> pets </TABLE> WHERE <COLUMN> pet_age </COLUMN> greater than <VALUE> 1 </VALUE> </QUERY>'}"
23,"{'input': '<QUESTION> Find the average <COLUMN> weight </COLUMN> for each <TABLE> pet </TABLE> <COLUMN> type </COLUMN> .  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> avg </AGGREGATE> <COLUMN> weight </COLUMN>  <COLUMN> pettype </COLUMN>  FROM  <TABLE> pets </TABLE> GROUP BY <COLUMN>  pettype </COLUMN> </QUERY>'}"
24,"{'input': '<QUESTION> What is the average <COLUMN> weight </COLUMN> for each <COLUMN> type </COLUMN> of <TABLE> pet </TABLE> ?  </QUESTION> <SCHEMA> The database name is ""pets 1"". This database has a table whose name is ""Pets"". The column names of this table are ""pet id"" which is of type number, ""pet type"" which is of type text, ""pet age"" which is of type number, ""weight"" which is of type number. The mandatory column of this table is ""pet id"". The table ""has pet"" has a reference in the table ""pets"" which are linked by the column ""pet id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> avg </AGGREGATE> <COLUMN> weight </COLUMN>  <COLUMN> pettype </COLUMN>  FROM  <TABLE> pets </TABLE> GROUP BY <COLUMN>  pettype </COLUMN> </QUERY>'}"
25,"{'input': '<QUESTION> Find the average age of students who do not have any pet .  </QUESTION> <SCHEMA>  </SCHEMA>', 'output': '<QUERY> SELECT SELECT <COLUMN> avg(age) </COLUMN>  FROM  <TABLE> student </TABLE>  </QUERY>'}"
26,"{'input': '<QUESTION> What is the average age for all students who do not own any pets ?  </QUESTION> <SCHEMA>  </SCHEMA>', 'output': '<QUERY> SELECT SELECT <COLUMN> avg(age) </COLUMN>  FROM  <TABLE> student </TABLE>  </QUERY>'}"
27,"{'input': '<QUESTION> How many <TABLE> continents </TABLE> are there ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""continents"". The column names of this table are ""cont id"" which is of type number, ""continent"" which is of type text. The mandatory column of this table is ""cont id"". The table ""countries"" has a reference in the table ""continents"" which are linked by the columns ""continent"" and ""cont id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> id </PRIMARY KEY>  FROM  <TABLE> CONTINENTS </TABLE>  </QUERY>'}"
28,"{'input': '<QUESTION> What is the number of <TABLE> continents </TABLE> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""continents"". The column names of this table are ""cont id"" which is of type number, ""continent"" which is of type text. The mandatory column of this table is ""cont id"". The table ""countries"" has a reference in the table ""continents"" which are linked by the columns ""continent"" and ""cont id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> id </PRIMARY KEY>  FROM  <TABLE> CONTINENTS </TABLE>  </QUERY>'}"
29,"{'input': '<QUESTION> How many <TABLE> countries </TABLE> are listed ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""countries"". The column names of this table are ""country id"" which is of type number, ""country name"" which is of type text, ""continent"" which is of type number. The mandatory column of this table is ""country id"". The table ""countries"" has a reference in the table ""continents"" which are linked by the columns ""continent"" and ""cont id"". The table ""car makers"" has a reference in the table ""countries"" which are linked by the columns ""country"" and ""country id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> id </PRIMARY KEY>  FROM  <TABLE> COUNTRIES </TABLE>  </QUERY>'}"
30,"{'input': '<QUESTION> How many <TABLE> countries </TABLE> exist ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""countries"". The column names of this table are ""country id"" which is of type number, ""country name"" which is of type text, ""continent"" which is of type number. The mandatory column of this table is ""country id"". The table ""countries"" has a reference in the table ""continents"" which are linked by the columns ""continent"" and ""cont id"". The table ""car makers"" has a reference in the table ""countries"" which are linked by the columns ""country"" and ""country id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> id </PRIMARY KEY>  FROM  <TABLE> COUNTRIES </TABLE>  </QUERY>'}"
31,"{'input': '<QUESTION> What is the average miles per gallon ( <COLUMN> mpg </COLUMN> ) of the <TABLE> cars </TABLE> with <VALUE> 4 </VALUE> <COLUMN> cylinders </COLUMN> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""cars_data"". The column names of this table are ""id"" which is of type number, ""mpg"" which is of type text, ""cylinders"" which is of type number, ""edispl"" which is of type number, ""horsepower"" which is of type text, ""weight"" which is of type number, ""accelerate"" which is of type number, ""year"" which is of type number. The mandatory column of this table is ""id"". The table ""cars data"" has a reference in the table ""car names"" which are linked by the columns ""id"" and ""make id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> avg </AGGREGATE> <COLUMN> mpg </COLUMN>  FROM  <TABLE> CARS_DATA </TABLE> WHERE <COLUMN> Cylinders </COLUMN> equals <VALUE> 4 </VALUE> </QUERY>'}"
32,"{'input': '<QUESTION> What is the average miles per gallon of all the cards with <VALUE> 4 </VALUE> <COLUMN> cylinders </COLUMN> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""cars_data"". The column names of this table are ""id"" which is of type number, ""mpg"" which is of type text, ""cylinders"" which is of type number, ""edispl"" which is of type number, ""horsepower"" which is of type text, ""weight"" which is of type number, ""accelerate"" which is of type number, ""year"" which is of type number. The mandatory column of this table is ""id"". The table ""cars data"" has a reference in the table ""car names"" which are linked by the columns ""id"" and ""make id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> avg </AGGREGATE> <COLUMN> mpg </COLUMN>  FROM  <TABLE> CARS_DATA </TABLE> WHERE <COLUMN> Cylinders </COLUMN> equals <VALUE> 4 </VALUE> </QUERY>'}"
33,"{'input': '<QUESTION> What is the smallest weight of the car produced with <VALUE> 8 </VALUE> cylinders on <VALUE> 1974 </VALUE> ?  </QUESTION> <SCHEMA>  </SCHEMA>', 'output': '<QUERY> SELECT SELECT <COLUMN> min(weight) </COLUMN>  FROM  <TABLE> cars_data </TABLE>  </QUERY>'}"
34,"{'input': '<QUESTION> What is the minimum weight of the car with <VALUE> 8 </VALUE> cylinders produced in <VALUE> 1974 </VALUE> ?  </QUESTION> <SCHEMA>  </SCHEMA>', 'output': '<QUERY> SELECT SELECT <COLUMN> min(weight) </COLUMN>  FROM  <TABLE> cars_data </TABLE>  </QUERY>'}"
35,"{'input': '<QUESTION> What are all the <COLUMN> makers </COLUMN> and <TABLE> models </TABLE> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""model_list"". The column names of this table are ""model id"" which is of type number, ""maker"" which is of type number, ""model"" which is of type text. The mandatory column of this table is ""model id"". The table ""model list"" has a reference in the table ""car makers"" which are linked by the columns ""maker"" and ""id"". The table ""car names"" has a reference in the table ""model list"" which are linked by the column ""model"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> Maker </COLUMN>  <COLUMN> Model </COLUMN>  FROM  <TABLE> MODEL_LIST </TABLE>  </QUERY>'}"
36,"{'input': '<QUESTION> What are the <COLUMN> makers </COLUMN> and <TABLE> models </TABLE> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""model_list"". The column names of this table are ""model id"" which is of type number, ""maker"" which is of type number, ""model"" which is of type text. The mandatory column of this table is ""model id"". The table ""model list"" has a reference in the table ""car makers"" which are linked by the columns ""maker"" and ""id"". The table ""car names"" has a reference in the table ""model list"" which are linked by the column ""model"". </SCHEMA>', 'output': '<QUERY> SELECT  <COLUMN> Maker </COLUMN>  <COLUMN> Model </COLUMN>  FROM  <TABLE> MODEL_LIST </TABLE>  </QUERY>'}"
37,"{'input': '<QUESTION> What is the number of the <TABLE> cars </TABLE> with <COLUMN> horsepower </COLUMN> more than <VALUE> 150 </VALUE> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""cars_data"". The column names of this table are ""id"" which is of type number, ""mpg"" which is of type text, ""cylinders"" which is of type number, ""edispl"" which is of type number, ""horsepower"" which is of type text, ""weight"" which is of type number, ""accelerate"" which is of type number, ""year"" which is of type number. The mandatory column of this table is ""id"". The table ""cars data"" has a reference in the table ""car names"" which are linked by the columns ""id"" and ""make id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> id </PRIMARY KEY>  FROM  <TABLE> CARS_DATA </TABLE> WHERE <COLUMN> horsepower </COLUMN> greater than <VALUE> 150 </VALUE> </QUERY>'}"
38,"{'input': '<QUESTION> What is the number of <TABLE> cars </TABLE> with a <COLUMN> horsepower </COLUMN> greater than <VALUE> 150 </VALUE> ?  </QUESTION> <SCHEMA> The database name is ""car 1"". This database has a table whose name is ""cars_data"". The column names of this table are ""id"" which is of type number, ""mpg"" which is of type text, ""cylinders"" which is of type number, ""edispl"" which is of type number, ""horsepower"" which is of type text, ""weight"" which is of type number, ""accelerate"" which is of type number, ""year"" which is of type number. The mandatory column of this table is ""id"". The table ""cars data"" has a reference in the table ""car names"" which are linked by the columns ""id"" and ""make id"". </SCHEMA>', 'output': '<QUERY> SELECT <AGGREGATE> count </AGGREGATE>  <PRIMARY KEY> id </PRIMARY KEY>  FROM  <TABLE> CARS_DATA </TABLE> WHERE <COLUMN> horsepower </COLUMN> greater than <VALUE> 150 </VALUE> </QUERY>'}"
